Article Name,Description,Link
Breast-shaped hill,Laid bare in many places around the world. May have given their name to Manchester.,https://en.wikipedia.org/wiki/Breast-shaped_hill
Eiffel Tower replicas and derivatives,Not as unique as you might have thought.,https://en.wikipedia.org/wiki/Eiffel_Tower_replicas_and_derivatives
Folly,Buildings prized for their uselessness.,https://en.wikipedia.org/wiki/Folly
Gravity hill,A hill that gives the illusion of objects rolling up it.,https://en.wikipedia.org/wiki/Gravity_hill
List of cities claimed to be built on seven hills,Almost 100 different cities across all inhabited continents trying to get the credibility of having something in common with Rome.,https://en.wikipedia.org/wiki/List_of_cities_claimed_to_be_built_on_seven_hills
List of micronations,Ever wanted to start your own country?,https://en.wikipedia.org/wiki/List_of_micronations
List of tautological place names,Place names that contain truisms and say what they are.,https://en.wikipedia.org/wiki/List_of_tautological_place_names
Pizza farm,All the ingredients of pizza grown in one convenient location!,https://en.wikipedia.org/wiki/Pizza_farm
Recursive islands and lakes,Islands in lakes in islands in lakes in islands...,https://en.wikipedia.org/wiki/Recursive_islands_and_lakes
Rocket garden,Landscaping and rocketry together at last.,https://en.wikipedia.org/wiki/Rocket_garden
Spite house,Various houses built solely out of spite for their neighbors.,https://en.wikipedia.org/wiki/Spite_house
Valeriepieris circle,You either live inside the circle or outside. Even though you live inside.,https://en.wikipedia.org/wiki/Valeriepieris_circle
Bir Tawil,One of the few places on Earth not claimed by any country. An American trekked there and claimed it in 2014 as the Kingdom of North Sudan so he could make his daughter a princess.,https://en.wikipedia.org/wiki/Egypt
Congo Pedicle,What happens when a tyrannical king decides he wants to hunt game in a swamp.,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
Gaet'ale Pond,A small lake in Ethiopia that was created in 2005 after an earthquake. It's not bitter it's just really really salty.,https://en.wikipedia.org/wiki/Ethiopia
Jacob's Ladder,It's all very downhill from here.,https://en.wikipedia.org/wiki/Saint_Helena
Lake Nyos,A lake in northwestern Cameroon that exploded in 1986 killing 1746 people. One of 3 known exploding lakes the others being Lake Monoun and Lake Kivu.,https://en.wikipedia.org/wiki/Cameroon
Oklo Mine,The former site of the world's only natural nuclear fission reactors.,https://en.wikipedia.org/wiki/Gabon
Peñón de Vélez de la Gomera,A rock on the Moroccan coast connected to the mainland by an 80-metre-wide (260 ft) tombolo; it is owned by Spain. In 2012 four Moroccan irredentists attempted to storm and take over the territory.,https://en.wikipedia.org/wiki/Spain
Republic of Benin (1967),One of the shortest-lived states in history it was independent for only seven hours (07:00 to 14:00 on 19 September 1967).,https://en.wikipedia.org/wiki/Nigeria
The Owl House,Not the acclaimed animated LGBT horror-comedy that aired on Disney Channel; this is an outdoor museum that was created by a reclusive outsider artist who decorated her inherited house with over 300 glass and concrete sculptures of owls camels peacocks pyramids and other forms.,https://en.wikipedia.org/wiki/South_Africa
Blood Falls,A naturally occurring plume of saltwater that is blood red thanks to its high iron oxide content.,https://en.wikipedia.org/wiki/Ross_Dependency
Mawson Peak,The tallest mountain in Australia is not on the mainland but on a barren uninhabited island more than 3800 kilometres (2400 mi) away.,https://en.wikipedia.org/wiki/Heard_Island_and_McDonald_Islands
McMurdo Dry Valleys,An area of Antarctica that a) contains an extremely saline body of water and b) has not experienced rainfall for over two million years.,https://en.wikipedia.org/wiki/Ross_Dependency
Marie Byrd Land,The largest unclaimed territory in the world. Notable for being bigger than Mongolia having one of Antarctica's biggest human bases and being the setting of The Thing.,https://en.wikipedia.org/wiki/Antarctica
Artsvashen,An Armenian town surrounded and controlled by Azerbaijan. One of a number of similar towns on this border; others include Yukhari Askipara Barxudarlı and Karki.,https://en.wikipedia.org/wiki/Armenia
Atar Padang Ganting,An Indonesian village with a monument resembling a photocopier.,https://en.wikipedia.org/wiki/Indonesia
Camp Bonifas,The bunkers on this golf course feature machine-guns and landmines.,https://en.wikipedia.org/wiki/South_Korea
Dahala Khagrabari,India inside Bangladesh inside India inside Bangladesh. Formerly the only third-order enclave in the world.,https://en.wikipedia.org/wiki/Bangladesh
Darvaza gas crater,A flaming 70 m (230 ft) wide 30 m (98 ft) deep crater in the middle of the Karakum Desert on fire since 1971.,https://en.wikipedia.org/wiki/Turkmenistan
Dhekelia Power Station,A Cypriot power station that provides power to a British military base that surrounds it.,https://en.wikipedia.org/wiki/Cyprus
Diomede Islands,Two islands in the Bering Strait separated by 4 kilometres (2.5 mi) and 21 hours' time difference.,https://en.wikipedia.org/wiki/Chukotka_Autonomous_Okrug
Gangkhar Puensum,The tallest mountain nobody has ever summitted as the Bhutanese government has prohibited mountaineering since 2003.,https://en.wikipedia.org/wiki/Bhutan
Gate Tower Building,A skyscraper in Japan that has a highway offramp passing through its fifth sixth and seventh floors.,https://en.wikipedia.org/wiki/Japan
Hallstatt (China),An ongoing replica construction of a town in Austria.,https://en.wikipedia.org/wiki/China
Hanazono Room,An indoor swimming pool in Japan used as the site for many pornographic films.,https://en.wikipedia.org/wiki/Japan
Jewish Autonomous Oblast,In the depths of Eastern Siberia there's a place with street names in Yiddish even though 99% of its population is not Jewish.,https://en.wikipedia.org/wiki/Jewish_Autonomous_Oblast
Jaxa (state),A 17th-century microstate located on the Amur River between the Tsardom of Russia and Qing China with a population mostly consisting of Polish and Ukrainians.,https://en.wikipedia.org/wiki/Amur_Oblast
Kai Tak Airport,A major international airport closed in 1998 where planes literally almost crashed constantly into the city due to a right-hand turn over the city.,https://en.wikipedia.org/wiki/Hong_Kong
Karni Mata Temple,A marble temple famous for 25000 revered black rats that live in the temple who are considered the ancestors of Charans.,https://en.wikipedia.org/wiki/India
Kijong-dong,An ideal village (where no one actually lives) featuring loudspeakers that blast North Korean propaganda and a comically tall flagpole flying a 600-pound flag.,https://en.wikipedia.org/wiki/North_Korea
Korea Central Zoo,A zoo with such wondrous animals as a chimpanzee with a smoking habit a parrot that sings the praises of Kim Il-sung and dogs.,https://en.wikipedia.org/wiki/North_Korea
